n = 53;
m = 24;
k = 3;
animales = {aguila, buitre, cocodrilo, coyote, delfin, foca, harpia, gaviota, largartija, leon, lobo, mapache, pelicano, pinguino, puma, serpiente, tiburon, tigre, tortuga, zarigueya, zorro, caballo, cabra, canguro, cebra, ciervo, conejo, chinchilla, elefante, gacela, jirafa, koala, oruga, oso, panda, oveja, rinoceronte, avestruz, cerdo, chimpance, coati, cuervo, erizo, gallina, nandu, perico, pirana, roedor, toro, cacatua, urraca, perro, gato};
grandezas = {41, 42, 43, 44, 21, 32, 22, 33, 23, 34, 45, 1, 52, 2, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 40, 20, 30, 31, 24, 35, 25, 36, 26, 46, 47, 48, 49, 50, 51, 37, 27, 38, 3, 4, 5, 6, 7, 28, 39, 29, 53};
apertura = {{foca, buitre, cocodrilo}, {gaviota, buitre, coyote}, {aguila, buitre, delfin}, {pelicano, chinchilla, foca}, {lobo, buitre, harpia}, {zarigueya, buitre, gaviota}, {tortuga, buitre, largartija}, {mapache, buitre, leon}, {tigre, buitre, lobo}, {aguila, buitre, mapache}, {aguila, buitre, pelicano}, {leon, buitre, pinguino}, {largartija, urraca, puma}, {caballo, urraca, serpiente}, {aguila, urraca, tiburon}, {urraca, cacatua, toro}, {urraca, roedor, pirana}, {roedor, pirana, oso}, {nandu, gallina, erizo}, {erizo, cuervo, coati}, {chimpance, erizo, cerdo}, {avestruz, rinoceronte, oveja}, {panda, oso, oruga}, {koala, jirafa, oso}, {gacela, elefante, chinchilla}, {conejo, oso, cebra}, {conejo, cerdo, cebra}, {ciervo, canguro, caballo}, {cabra, zorro, zarigueya}, {zorro, tiburon, zarigueya}, {tortuga, tiburon, coati}, {tigre, serpiente, puma}, {oveja, urraca, caballo}, {pirana, gacela, cocodrilo}, {canguro, pinguino, coyote}, {coati, chinchilla, puma}, {zarigueya, canguro, panda}, {perro, gallina, erizo}, {gato, chimpance, panda}, {tiburon, pinguino, gato}, {nandu, perro, harpia}, {coyote, foca, perico}, {cerdo, cabra, harpia}, {pirana, perro, gallina}, {cacatua, conejo, toro}, {roedor, nandu, cuervo}, {cuervo, chimpance, avestruz}, {avestruz, panda, gato}, {rinoceronte, oruga, koala}, {oruga, ciervo, cabra}, {koala, gacela, chinchilla}, {elefante, oruga, jirafa}, {jirafa, ciervo, cebra}, {zorro, tortuga, tigre}, {serpiente, pelicano, puma}, {pinguino, mapache, pelicano}, {lobo, gato, gaviota}, {lobo, largartija, foca}, {delfin, coyote, cocodrilo}, {delfin, nandu, roedor}, {erizo, pinguino, jirafa}, {delfin, aguila, oso}, {cacatua, cebra, cabra}, {ciervo, perro, cacatua}, {urraca, gato, jirafa}, {lobo, gallina, pelicano}, {koala, panda, caballo}, {jirafa, gallina, cerdo}, {pinguino, rinoceronte, gaviota}};
parte = {{koala, panda, caballo}, {jirafa, gallina, cerdo}, {pinguino, rinoceronte, gaviota}};
parte = {{rinoceronte, oruga, koala}, {oruga, ciervo, cabra}, {koala, gacela, chinchilla}};
parte = {{cerdo, cabra, harpia}, {pirana, perro, gallina}, {cacatua, conejo, toro}};
parte = {{tiburon, pinguino, gato}, {nandu, perro, harpia}, {coyote, foca, perico}};
parte = {{ciervo, perro, cacatua}, {urraca, gato, jirafa}, {lobo, gallina, pelicano}};
parte = {{roedor, nandu, cuervo}, {cuervo, chimpance, avestruz}, {avestruz, panda, gato}};
parte = {{pirana, gacela, cocodrilo}, {canguro, pinguino, coyote}, {coati, chinchilla, puma}};
parte = {{zarigueya, canguro, panda}, {perro, gallina, erizo}, {gato, chimpance, panda}};
parte = {{erizo, pinguino, jirafa}, {delfin, aguila, oso}, {cacatua, cebra, cabra}};
parte = {{tortuga, tiburon, coati}, {tigre, serpiente, puma}, {oveja, urraca, caballo}};
parte = {{ciervo, canguro, caballo}, {cabra, zorro, zarigueya}, {zorro, tiburon, zarigueya}};
parte = {{avestruz, rinoceronte, oveja}, {panda, oso, oruga}, {koala, jirafa, oso}};
parte = {{lobo, largartija, foca}, {delfin, coyote, cocodrilo}, {delfin, nandu, roedor}};
parte = {{largartija, urraca, puma}, {caballo, urraca, serpiente}, {aguila, urraca, tiburon}};
parte = {{urraca, cacatua, toro}, {urraca, roedor, pirana}, {roedor, pirana, oso}};
parte = {{foca, buitre, cocodrilo}, {gaviota, buitre, coyote}, {aguila, buitre, delfin}};
parte = {{serpiente, pelicano, puma}, {pinguino, mapache, pelicano}, {lobo, gato, gaviota}};
parte = {{aguila, buitre, mapache}, {aguila, buitre, pelicano}, {leon, buitre, pinguino}};
parte = {{nandu, gallina, erizo}, {erizo, cuervo, coati}, {chimpance, erizo, cerdo}};
parte = {{tortuga, buitre, largartija}, {mapache, buitre, leon}, {tigre, buitre, lobo}};
parte = {{elefante, oruga, jirafa}, {jirafa, ciervo, cebra}, {zorro, tortuga, tigre}};
parte = {{pelicano, chinchilla, foca}, {lobo, buitre, harpia}, {zarigueya, buitre, gaviota}};
parte = {{gacela, elefante, chinchilla}, {conejo, oso, cebra}, {conejo, cerdo, cebra}};
